Loan_ID,Gender,Married,Dependents,Education,Self_Employed,Age,Credit_Score,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Purpose,Employment_Years,Debt_to_Income,Interest_Rate,Monthly_Payment,Loan_Status
LP000014,,No,1,Graduate,No,41,537,4797,7970,259,360,1,Urban,Debt Consolidation,12,0.23,9.01,2085.84,N
LP000015,Male,Yes,2,Graduate,No,35,693,7332,0,229,60,0,Urban,Business,,0.17,6.13,4441.07,N
LP000016,Male,No,1,Graduate,No,,722,4828,0,205,180,1,Rural,Home Purchase,10,0.29,4.12,1528.72,N
LP000017,Female,Yes,1,Graduate,No,37,619,7653,3784,106,240,0,Rural,Debt Consolidation,3,0.25,8.76,937.41,N
LP000018,Male,Yes,3+,Graduate,No,39,629,6280,0,64,60,1,Rural,Education,6,0.1,8.89,1325.12,Y
LP000019,Male,No,2,Graduate,No,31,769,5858,0,67,240,1,Urban,Business,8,0.15,7.51,540.16,Y
LP000020,Male,Yes,0,Graduate,No,44,644,4281,1461,120,120,1,Rural,Education,6,0.34,5.95,1329.23,N
LP000021,Male,No,0,Graduate,No,29,843,4592,0,216,120,1,Semiurban,Debt Consolidation,13,0.43,4.71,2260.52,Y
LP000022,Female,No,2,Graduate,No,38,812,5882,685,96,360,1,Semiurban,Home Purchase,7,0.43,3.74,444.05,Y
LP000023,Male,Yes,1,Graduate,No,21,793,3178,1510,84,120,1,Urban,Home Purchase,17,,7.6,1001.48,Y
LP000024,Male,No,0,Graduate,No,28,721,7698,0,271,360,1,Semiurban,Debt Consolidation,4,0.31,7.11,1823.03,N
LP000025,Male,Yes,0,Graduate,Yes,31,672,7049,0,64,240,0,Semiurban,Business,7,0.23,8.5,555.41,N
LP000026,Female,No,2,Not Graduate,No,44,693,3622,0,87,180,1,Rural,Home Improvement,14,0.14,4.31,657.13,Y
LP000027,Male,Yes,3+,Not Graduate,No,24,747,4549,986,156,120,1,Urban,Vehicle,12,0.18,5.07,1659.96,Y
LP000028,Male,Yes,0,Graduate,No,21,739,7476,1309,81,120,0,Rural,Home Purchase,9,0.16,5.53,880.27,N
LP000029,,Yes,2,Graduate,No,,666,3298,0,120,180,1,Semiurban,Home Improvement,9,0.38,8.72,1197.21,N
LP000030,Male,Yes,0,Not Graduate,No,32,613,4964,390,226,360,1,Semiurban,Home Purchase,6,0.43,7.79,1625.34,N
LP000031,Female,No,3+,Graduate,Yes,44,653,3576,0,111,360,1,Urban,Home Purchase,8,0.34,4.91,589.78,N
LP000032,,No,1,Graduate,,43,613,5661,921,89,180,1,Urban,Vehicle,11,0.19,9.19,912.78,Y
LP000033,Female,No,0,Graduate,No,43,682,3379,0,142,180,0,Semiurban,Medical,16,0.07,7.75,1336.61,N
LP000034,Male,No,3+,Graduate,No,35,773,3656,0,61,60,0,Rural,Vehicle,9,0.13,4.11,1126.44,N
LP000035,Female,No,2,Graduate,No,30,748,10368,0,56,360,1,Rural,Home Improvement,3,0.09,4.66,289.09,Y
LP000036,Male,Yes,0,Graduate,No,47,675,9919,2342,130,360,0,Rural,Medical,14,0.11,6.09,786.95,N
LP000037,Male,No,2,Graduate,No,33,679,2448,0,48,240,1,Rural,Home Purchase,3,0.16,8.67,421.73,Y
LP000038,Male,No,1,Graduate,No,52,653,7534,9572,110,120,1,Urban,Home Purchase,1,0.1,4.5,1140.02,N
LP000039,Male,Yes,1,Graduate,No,33,691,10299,0,38,240,0,Urban,Debt Consolidation,8,0.13,6.15,275.54,N
LP000040,Male,Yes,0,Not Graduate,No,,623,5374,1901,258,360,1,Urban,Vehicle,0,0.08,4.12,1249.65,Y
LP000041,Male,Yes,3+,Graduate,No,22,585,4620,0,237,360,,Rural,Debt Consolidation,9,0.1,9.17,1936.02,N
LP000042,Female,Yes,0,Graduate,No,26,662,2977,2701,132,360,1,Rural,Business,8,0.42,6.34,820.49,Y
LP000043,Male,Yes,0,Graduate,No,33,598,3528,5560,73,240,1,Rural,Debt Consolidation,6,0.42,8.12,616.06,Y
LP000044,Male,,1,Graduate,No,49,785,7542,1349,69,180,0,Rural,Home Purchase,5,0.4,4.21,517.68,Y
LP000045,Female,Yes,2,Not Graduate,No,30,761,8820,5309,133,120,,Rural,Home Purchase,1,0.19,4.69,1390.6,Y
LP000046,Male,Yes,1,Graduate,No,30,676,4626,0,80,360,1,Semiurban,Home Improvement,0,0.22,6.4,,Y
LP000047,Male,No,0,Graduate,No,39,763,7171,2394,215,360,1,Rural,Education,2,0.14,5.16,1175.28,Y
LP000048,Female,Yes,1,Graduate,Yes,,649,2468,0,145,60,1,Rural,Education,13,0.39,7.47,2903.44,Y
LP000049,Male,Yes,3+,Not Graduate,Yes,32,571,4496,11200,242,360,1,Urban,Medical,21,0.35,6.53,1534.38,N
LP000050,Male,No,0,Graduate,Yes,54,755,2870,0,172,360,1,Rural,Education,8,0.23,5.23,947.66,N
LP000051,Male,Yes,0,Graduate,No,58,610,5367,4472,82,360,1,Rural,Debt Consolidation,5,0.14,8.56,634.0,Y
LP000052,Male,Yes,0,Graduate,No,,786,6072,0,83,240,0,Urban,Debt Consolidation,0,0.17,3.5,481.37,N
LP000053,Female,No,3+,Not Graduate,No,22,666,8264,1408,158,360,1,Semiurban,Education,6,0.43,6.82,1032.15,N
LP000054,Male,Yes,1,Graduate,No,37,561,1943,1055,149,360,1,Semiurban,Debt Consolidation,17,0.39,11.19,1440.39,Y
LP000055,Female,Yes,1,Not Graduate,No,35,706,19646,0,55,60,1,Semiurban,Business,9,0.22,9.42,1152.95,Y
LP000056,Female,Yes,1,Not Graduate,No,48,642,4441,0,166,240,1,Urban,Debt Consolidation,0,0.18,5.52,1143.77,Y
LP000057,Female,Yes,0,Not Graduate,Yes,24,651,4775,2485,88,180,1,Urban,Medical,10,0.24,4.62,678.6,N
LP000058,Male,Yes,1,Not Graduate,No,21,627,4710,1478,95,180,1,Semiurban,Medical,17,0.35,7.86,900.21,Y
LP000059,Female,No,2,Graduate,,,665,5174,2912,234,360,1,Semiurban,Business,19,0.21,8.5,1799.26,Y
LP000060,Male,No,1,Graduate,No,21,624,4786,0,116,360,0,Rural,Debt Consolidation,12,0.21,4.17,565.23,N
LP000061,Male,Yes,1,Graduate,No,24,620,3015,1655,118,360,0,Semiurban,Home Purchase,10,0.13,5.08,639.23,N
LP000062,Male,Yes,2,Not Graduate,No,44,690,3663,0,99,360,1,Rural,Home Purchase,5,0.28,6.89,651.35,N
LP000063,Female,Yes,0,Graduate,No,21,775,12763,906,152,360,0,Rural,Education,1,0.24,5.2,834.65,N
LP000064,,No,0,Not Graduate,No,32,646,2651,0,99,240,1,Semiurban,Business,5,0.25,4.35,618.34,N
LP000065,Male,Yes,2,Not Graduate,No,32,634,8928,0,149,180,1,Urban,Business,0,0.29,8.02,1425.64,N
LP000066,Female,No,1,Graduate,No,40,,5689,1078,40,360,1,Urban,Debt Consolidation,5,0.36,5.89,237.0,Y
LP000067,Male,No,0,Graduate,No,42,725,6206,1737,79,180,1,Urban,Home Improvement,4,0.31,5.91,662.81,Y
LP000068,Male,Yes,0,Not Graduate,Yes,36,598,2913,2292,164,240,0,Urban,Debt Consolidation,2,0.22,13.13,1936.59,N
LP000069,Female,Yes,0,Graduate,No,30,725,6604,0,130,360,0,Urban,Business,7,0.15,5.05,701.85,N
LP000070,Female,No,3+,Graduate,No,34,684,7623,1468,114,360,1,Semiurban,Home Purchase,5,,6.18,,N
LP000071,Female,No,0,Graduate,No,47,731,7877,1624,71,180,1,Urban,Home Purchase,4,0.38,3.5,507.57,Y
LP000072,Female,No,0,Graduate,No,30,653,6089,0,88,120,1,Rural,Education,2,0.3,5.66,962.02,Y
LP000073,Male,Yes,2,Not Graduate,No,58,666,5491,808,182,360,1,Urban,Vehicle,4,0.61,5.24,1003.88,Y
LP000074,Female,Yes,0,Graduate,No,28,641,6298,2091,138,360,1,Rural,Education,11,0.27,6.24,848.79,Y
LP000075,Female,Yes,0,Graduate,No,35,759,9249,1535,85,360,0,Urban,Home Purchase,11,0.18,7.77,610.13,N
LP000076,Male,No,3+,Not Graduate,No,,627,3227,10466,53,360,1,Rural,Education,7,0.37,7.69,377.5,N
LP000077,Male,Yes,3+,Graduate,No,37,846,4556,0,65,360,0,Semiurban,Debt Consolidation,11,0.14,3.5,291.88,N
LP000078,Female,Yes,0,Graduate,No,48,505,3443,2105,104,360,1,Urban,Home Purchase,11,0.2,10.72,968.48,Y
LP000079,Female,Yes,2,Graduate,No,27,728,5145,0,156,180,1,Urban,Vehicle,9,0.63,6.96,1398.69,Y
LP000080,Male,No,0,Not Graduate,No,23,785,8033,2207,209,360,1,Urban,Debt Consolidation,13,0.35,5.16,1142.48,Y
LP000081,Male,Yes,1,Not Graduate,No,27,647,7515,1762,165,360,1,Urban,Home Purchase,2,0.25,8.64,1285.11,N
LP000082,Female,Yes,3+,Graduate,No,45,806,17382,1176,67,,0,Semiurban,Business,18,0.34,4.04,,Y
LP000083,Male,Yes,0,Graduate,No,37,703,4007,1643,92,120,1,Urban,Education,14,0.16,6.74,1055.91,Y
LP000084,Male,Yes,1,Graduate,No,33,779,4230,0,102,360,0,Urban,Home Improvement,11,0.21,5.74,594.6,Y
LP000085,Female,No,2,Not Graduate,No,47,760,2521,5179,94,180,1,Rural,Home Purchase,3,0.22,4.04,697.19,Y
LP000086,Male,Yes,1,Not Graduate,No,39,742,4157,2380,107,360,1,Rural,Business,2,0.16,3.5,480.48,Y
LP000087,Female,No,0,Graduate,No,30,757,7802,311,111,360,1,Urban,Home Purchase,13,0.26,4.93,591.13,Y
LP000088,Male,No,2,Graduate,Yes,49,658,2378,4937,192,180,1,Rural,Debt Consolidation,12,0.37,7.87,1820.47,Y
LP000089,Female,Yes,0,Graduate,No,27,,4895,1099,166,120,0,Semiurban,Home Purchase,0,0.15,5.85,1830.46,N
LP000090,Male,Yes,1,Graduate,No,30,687,6111,1122,153,360,1,Semiurban,Business,2,0.21,7.42,1061.43,Y
LP000091,Male,Yes,0,Graduate,Yes,46,730,10685,0,,180,0,Urban,Home Purchase,5,0.23,4.93,,Y
LP000092,Female,Yes,0,Graduate,No,30,714,4320,2096,79,360,0,Urban,Home Purchase,6,0.19,5.72,459.52,Y
LP000093,Female,No,0,Graduate,No,21,672,4885,1299,58,180,1,Urban,Home Purchase,2,0.47,3.71,420.64,Y
LP000094,Male,Yes,0,Graduate,Yes,28,785,6019,0,95,360,1,Semiurban,Medical,11,0.4,4.67,490.99,Y
LP000095,Female,No,0,Not Graduate,No,21,590,10722,4680,119,240,1,Semiurban,Education,5,0.32,5.85,842.29,Y
LP000096,Male,Yes,0,Not Graduate,No,31,729,2482,0,98,360,1,Rural,Home Purchase,6,0.11,5.19,537.52,Y
LP000097,Male,Yes,2,Not Graduate,No,27,738,2220,4491,97,240,1,Urban,Home Purchase,7,0.37,6.62,730.08,Y
LP000098,Male,Yes,0,Not Graduate,No,23,688,6634,0,86,360,1,Rural,Medical,8,0.12,5.16,470.11,N
LP000099,Male,No,3+,Graduate,No,49,668,6602,0,86,360,1,Semiurban,Medical,,0.16,5.55,491.0,Y
LP000100,Female,Yes,0,Not Graduate,Yes,28,661,5194,2387,92,180,0,Urban,Education,10,0.22,9.64,968.47,N
LP000101,Male,No,0,Not Graduate,No,42,694,2823,0,274,120,1,Rural,Education,2,0.29,8.31,3369.43,N
LP000102,Male,Yes,2,Graduate,No,,503,2736,2614,89,60,1,Semiurban,Education,3,0.32,,1853.98,N
LP000103,Female,Yes,3+,Not Graduate,No,36,,6198,0,76,360,1,Rural,Home Improvement,4,0.23,7.58,535.57,Y
LP000104,Male,Yes,2,Graduate,No,28,819,5560,879,234,180,1,Urban,Education,5,0.51,3.68,1693.59,Y
LP000105,Male,No,1,Graduate,No,35,737,4809,2473,148,360,1,Rural,Debt Consolidation,7,0.1,4.04,709.99,Y
LP000106,Male,Yes,0,Graduate,No,,692,3873,2111,160,240,1,Semiurban,Vehicle,5,0.06,6.29,1173.22,Y
LP000107,Female,Yes,1,Graduate,Yes,31,681,3754,800,122,180,1,Rural,Home Improvement,3,0.12,7.84,,N
LP000108,Male,No,0,Graduate,No,33,645,7610,1126,44,360,1,Urban,Debt Consolidation,13,0.21,9.92,383.53,Y
LP000109,Male,Yes,2,Not Graduate,No,28,677,5468,0,136,120,1,Rural,Business,0,0.32,4.71,1423.29,Y
LP000110,Female,Yes,1,Graduate,Yes,50,607,1670,436,,360,1,Semiurban,Education,15,0.28,7.63,,Y
LP000111,Female,Yes,2,Graduate,No,27,661,10944,4301,94,360,1,Rural,Home Purchase,5,0.2,4.53,477.96,Y
LP000112,Male,No,3+,Graduate,No,54,689,1500,3669,139,360,0,Semiurban,Education,4,0.42,7.54,975.72,N
LP000113,Female,Yes,2,Graduate,No,22,676,2186,0,129,360,0,Urban,Business,8,0.4,3.5,579.27,N
LP000114,Female,,0,Graduate,Yes,34,615,3846,325,173,360,1,Urban,Business,9,0.1,,1331.45,N
LP000115,Male,Yes,2,Graduate,Yes,42,651,4681,1135,151,,1,Urban,Home Improvement,4,0.29,8.73,,Y
LP000116,Male,Yes,2,Graduate,Yes,35,711,4390,0,151,120,0,Semiurban,Home Improvement,8,0.25,4.79,1586.13,N
LP000117,Male,Yes,1,Graduate,Yes,41,669,3113,1438,125,360,0,Rural,Home Improvement,0,0.19,8.47,958.49,N
LP000118,Female,Yes,0,Graduate,No,22,538,3353,0,,60,1,Urban,Education,6,0.18,8.11,,Y
LP000119,Male,Yes,2,Graduate,No,50,659,7118,1976,86,180,1,Urban,Debt Consolidation,8,0.17,,771.07,Y
LP000120,Male,Yes,2,Graduate,No,31,581,1546,5241,138,360,1,Urban,Education,9,0.25,8.46,1057.19,Y
LP000121,Male,Yes,0,Graduate,No,28,796,7691,2717,107,360,0,Rural,Medical,8,0.25,7.36,737.93,Y
LP000122,Female,No,1,Not Graduate,No,50,589,6018,0,88,,0,Semiurban,Vehicle,6,0.16,6.99,,Y
LP000123,Female,Yes,0,Graduate,No,35,553,6657,0,214,240,1,Urban,Vehicle,3,0.2,7.96,1784.66,Y
LP000124,,No,1,Not Graduate,No,37,638,2991,1379,127,360,1,Urban,Business,13,0.28,8.22,,N
LP000125,Male,No,2,Not Graduate,No,42,568,5499,863,112,360,1,Rural,Business,5,0.21,7.43,777.76,N
LP000126,Male,Yes,2,Graduate,No,21,606,10817,0,67,60,1,Semiurban,Debt Consolidation,8,0.37,7.54,1343.82,Y
LP000127,Female,No,0,Graduate,No,39,725,3433,2040,64,240,1,Rural,Home Purchase,7,0.15,5.5,440.25,Y
LP000128,Male,No,0,Graduate,No,26,655,5351,2867,84,360,1,Semiurban,Medical,8,0.25,6.05,506.33,Y
LP000129,Female,Yes,1,Graduate,No,29,764,12143,0,73,360,1,Rural,Home Purchase,17,0.1,3.91,344.74,Y
LP000130,Female,No,3+,Not Graduate,No,22,628,1711,599,29,360,0,Semiurban,Home Improvement,8,0.09,8.69,226.9,N
LP000131,Female,Yes,0,Graduate,No,29,726,3843,0,181,360,1,Semiurban,Debt Consolidation,14,0.24,5.3,1005.1,Y
LP000132,Female,Yes,3+,Graduate,No,62,674,9219,225,252,360,0,Rural,Education,11,0.11,6.07,1522.23,Y
LP000133,,No,1,Not Graduate,No,21,777,3282,1771,105,240,0,Semiurban,Debt Consolidation,0,0.4,7.25,829.89,N
LP000134,Female,Yes,1,Graduate,Yes,40,611,1902,0,184,60,0,Semiurban,Debt Consolidation,11,0.13,8.64,3787.47,N
LP000135,Female,Yes,2,Graduate,Yes,21,762,4017,6648,129,240,1,Semiurban,Business,6,0.16,3.5,748.15,Y
LP000136,Male,No,0,Not Graduate,No,21,633,5789,7441,57,120,0,Rural,Debt Consolidation,2,0.57,6.31,641.73,N
LP000137,Male,No,1,Graduate,No,30,589,4656,2249,95,120,1,Rural,Business,8,0.11,9.03,1204.96,Y
LP000138,Female,No,0,Graduate,No,31,764,3699,5500,107,180,1,Semiurban,Home Purchase,0,0.1,5.89,896.58,Y
LP000139,Male,Yes,0,Graduate,No,29,670,1500,1282,184,180,1,Semiurban,Home Improvement,9,0.25,4.08,1368.41,N
LP000140,Male,No,0,Graduate,No,21,770,8726,4828,81,60,1,Urban,Home Purchase,,0.39,6.13,1570.86,Y
LP000141,Male,Yes,0,Graduate,,37,667,3372,3208,102,60,1,Urban,Home Improvement,16,0.14,6.25,1983.82,Y
LP000142,Male,Yes,3+,Graduate,No,32,685,4683,2130,160,180,1,Semiurban,Home Improvement,8,0.33,7.52,1485.04,Y
LP000143,Female,No,1,Graduate,No,32,708,3860,3768,72,360,0,Rural,Debt Consolidation,11,0.23,3.72,332.22,N
LP000144,Male,Yes,2,Graduate,No,30,700,5183,3593,51,360,1,Semiurban,Business,8,0.32,7.08,,Y
LP000145,Male,Yes,2,Graduate,Yes,26,635,5417,0,56,360,1,Semiurban,Home Purchase,13,0.1,6.25,344.8,N
LP000146,Female,No,2,Graduate,No,33,502,7679,0,60,180,1,Semiurban,Debt Consolidation,0,0.14,12.36,734.06,Y
LP000147,Male,No,,Graduate,No,50,736,3599,8826,201,240,1,Semiurban,Vehicle,10,0.2,4.61,1283.59,Y
LP000148,Female,Yes,0,Not Graduate,No,39,741,8568,0,154,360,1,Semiurban,Business,2,0.09,3.5,691.53,Y
LP000149,Female,Yes,3+,Graduate,No,36,595,4054,861,123,360,0,Urban,Home Purchase,7,0.1,6.98,816.67,N
LP000150,Female,Yes,3+,Not Graduate,No,34,801,1500,0,72,180,1,Rural,Business,1,0.3,,514.72,Y
LP000151,Male,No,,Not Graduate,No,24,689,2774,0,230,360,1,Semiurban,Debt Consolidation,24,0.25,8.08,1700.5,Y
LP000152,Male,Yes,2,Not Graduate,No,43,630,3164,2679,89,360,0,Semiurban,Business,0,0.21,7.78,639.45,N
LP000153,Male,Yes,0,Not Graduate,No,45,741,3096,3121,39,360,1,Urban,Home Purchase,6,0.23,6.24,239.88,Y
LP000154,Male,,0,Graduate,No,31,589,8726,0,72,360,1,Rural,Home Purchase,10,0.38,9.39,599.65,N
LP000155,Male,No,0,Graduate,No,24,510,5901,1072,53,240,1,Urban,Vehicle,8,0.12,9.25,485.41,N
LP000156,Male,Yes,1,Graduate,No,21,694,4556,0,184,360,,Rural,Business,10,0.28,6.57,1171.49,N
LP000157,Male,No,0,Not Graduate,No,32,791,3220,2096,117,180,1,Urban,Home Purchase,3,0.21,5.53,957.85,Y
LP000158,Male,Yes,2,Not Graduate,No,29,688,13695,1084,114,120,1,Rural,Debt Consolidation,17,0.09,7.86,1374.72,Y
LP000159,Female,No,0,Graduate,No,25,587,11451,161,111,180,1,Urban,Home Purchase,1,0.19,8.17,1071.7,Y
LP000160,Male,Yes,0,Graduate,No,38,,3749,1699,113,360,0,Rural,Debt Consolidation,1,0.34,5.56,645.86,Y
LP000161,Male,No,3+,Graduate,No,43,588,3959,0,59,360,1,Semiurban,Home Purchase,14,0.07,,413.75,N
LP000162,Female,Yes,3+,Not Graduate,No,31,523,4805,2223,92,180,0,Semiurban,Home Purchase,8,0.34,9.35,952.38,N
LP000163,Male,Yes,1,Graduate,No,48,739,7626,5543,119,180,1,Rural,Debt Consolidation,8,0.23,4.97,939.19,Y
LP000164,Female,No,0,Graduate,No,33,850,21489,1744,86,360,1,Rural,Home Purchase,2,0.26,4.2,420.55,Y
LP000165,Female,Yes,1,Graduate,No,42,697,2106,2127,88,360,0,Semiurban,Home Purchase,13,0.08,7.34,605.7,Y
LP000166,Female,No,3+,Not Graduate,No,21,757,2293,744,57,240,1,Semiurban,Home Purchase,9,0.49,5.91,405.41,Y
LP000167,Male,Yes,0,Not Graduate,,39,700,1924,0,70,60,1,Semiurban,Education,5,0.09,,1349.72,N
LP000168,Female,No,1,Not Graduate,No,49,509,3298,0,103,360,1,Urban,Home Purchase,6,0.29,9.62,875.11,N
LP000169,Male,No,0,Graduate,No,32,648,7989,0,80,360,0,Semiurban,Business,6,0.17,9.27,659.3,N
LP000170,Male,Yes,0,Not Graduate,No,37,693,10797,512,278,120,1,Urban,Home Improvement,0,0.1,5.56,3025.3,Y
LP000171,Male,Yes,0,Graduate,No,36,589,5305,817,80,360,,Urban,Debt Consolidation,11,0.27,8.83,633.94,Y
LP000172,Male,No,0,Graduate,No,32,675,5045,0,107,360,1,Urban,Home Purchase,6,0.51,5.6,614.26,N
LP000173,Female,Yes,2,Graduate,No,34,649,4104,1732,228,180,1,Urban,Home Purchase,4,0.23,7.51,2114.88,N
LP000174,Male,No,2,Not Graduate,No,34,655,1713,4027,232,360,1,Urban,Business,5,0.18,7.25,1582.65,Y
LP000175,,Yes,0,Not Graduate,Yes,33,681,10800,1479,128,360,1,Rural,Education,5,0.29,6.46,805.68,Y
LP000176,Male,No,1,Graduate,No,36,734,1844,561,107,360,0,Semiurban,Business,8,0.27,5.41,601.51,Y
LP000177,Male,No,0,Graduate,No,55,611,7158,787,48,360,0,Semiurban,Home Improvement,2,0.27,7.76,344.21,N
LP000178,Male,Yes,2,Not Graduate,No,36,643,3988,0,175,120,1,Semiurban,Home Purchase,0,0.26,7.34,2062.7,N
LP000179,Male,No,2,Graduate,No,39,783,4451,0,55,360,1,Urban,Debt Consolidation,16,0.39,4.06,264.48,Y
LP000180,Male,Yes,1,Graduate,Yes,32,656,11053,0,92,180,1,Urban,Home Improvement,3,,7.08,831.04,Y
LP000181,Female,Yes,1,Graduate,No,40,725,19275,3463,82,180,1,Rural,Medical,12,0.13,4.07,609.42,Y
LP000182,Male,No,1,Graduate,Yes,38,653,3310,2397,258,360,1,Rural,Home Improvement,11,0.33,7.61,1823.45,Y
LP000183,Female,Yes,2,Not Graduate,No,65,585,7577,3785,121,60,1,Urban,Home Improvement,9,0.17,7.14,2403.95,N
LP000184,Male,Yes,1,Graduate,No,33,774,4160,573,171,120,1,Semiurban,Debt Consolidation,0,0.1,6.36,1929.51,N
LP000185,Female,Yes,3+,Not Graduate,No,34,708,6019,0,99,120,0,Rural,Home Improvement,0,,6.91,1144.89,N
LP000186,Female,No,0,Not Graduate,No,25,760,3896,0,54,120,1,Urban,Home Improvement,15,0.15,6.63,616.74,Y
LP000187,Female,Yes,0,Graduate,Yes,25,710,2222,1222,117,360,0,Semiurban,Medical,2,0.37,6.55,743.37,N
LP000188,Male,No,1,Not Graduate,No,40,559,2012,957,122,360,1,Urban,Debt Consolidation,12,0.24,8.23,914.83,Y
LP000189,Male,Yes,3+,Not Graduate,No,47,566,10328,518,111,360,1,Rural,Home Improvement,2,0.14,8.77,874.82,Y
LP000190,Male,Yes,0,Graduate,No,25,759,4427,1478,87,360,0,Urban,Home Purchase,6,0.16,3.55,393.1,N
LP000191,Female,No,0,Graduate,Yes,28,544,1944,2159,87,120,0,Semiurban,Medical,14,0.31,6.75,998.97,N
LP000192,Female,No,2,Graduate,,44,624,3464,13491,72,360,1,Rural,Education,12,0.32,7.33,495.08,Y
LP000193,Female,No,3+,Graduate,No,21,615,17496,0,106,120,0,Semiurban,Medical,12,0.23,5.99,1176.29,N
LP000194,Male,No,0,Not Graduate,No,44,742,3314,546,168,360,1,Urban,Home Improvement,2,0.23,6.54,1066.3,Y
LP000195,Male,No,1,Graduate,No,21,635,15070,2935,165,360,1,Rural,Home Purchase,8,0.6,3.5,740.92,N
LP000196,Female,No,1,Not Graduate,No,31,717,4300,1959,34,240,0,Semiurban,Debt Consolidation,11,0.08,8.09,286.3,N
LP000197,Male,Yes,1,Not Graduate,No,48,,5622,0,210,180,0,Semiurban,Home Purchase,11,0.2,9.99,2255.39,N
LP000198,Female,Yes,0,Not Graduate,No,50,712,4346,0,118,360,1,Rural,Home Purchase,7,0.21,8.51,908.15,N
LP000199,Male,No,2,Not Graduate,Yes,31,697,7117,1659,210,60,1,Urban,Debt Consolidation,0,0.22,7.04,4162.22,N
LP000200,Male,No,0,Graduate,No,21,765,5748,3215,66,180,1,Urban,Home Improvement,8,,4.97,520.89,Y
LP000201,Male,Yes,3+,Graduate,No,32,677,12345,0,96,240,0,Semiurban,Home Purchase,18,0.19,5.64,667.99,N
LP000202,Male,Yes,1,Graduate,No,37,583,5371,0,61,360,1,Urban,Vehicle,5,0.39,9.88,529.92,N
LP000203,Male,Yes,2,Graduate,Yes,37,604,1789,0,150,360,1,Rural,Debt Consolidation,5,0.09,6.92,989.91,N
LP000204,Male,Yes,0,Graduate,Yes,39,720,2443,2301,70,180,1,Rural,Home Purchase,3,0.14,5.34,566.03,Y
LP000205,Male,Yes,1,Graduate,No,32,700,3760,2849,,360,,Rural,Home Purchase,12,0.22,7.84,,N
LP000206,Male,Yes,0,Graduate,No,32,622,9113,0,74,360,1,Semiurban,Education,8,0.33,7.91,538.35,Y
LP000207,Female,No,1,Graduate,No,46,635,4211,8255,86,180,1,Rural,Home Purchase,13,0.27,7.59,801.64,Y
LP000208,Male,Yes,2,Graduate,No,38,695,3085,0,259,360,0,Rural,Education,,0.15,3.5,,N
LP000209,Male,Yes,3+,Graduate,No,24,633,4107,335,97,360,1,Semiurban,Debt Consolidation,8,0.26,7.08,650.56,Y
LP000210,Male,No,2,Graduate,No,38,671,6037,0,132,360,1,Semiurban,Home Purchase,7,0.19,7.67,938.38,Y
LP000211,Male,Yes,3+,Not Graduate,No,27,652,4661,1182,124,180,1,Urban,Home Purchase,7,0.21,5.65,1023.08,Y
LP000212,Male,Yes,0,Graduate,No,36,821,10243,0,53,360,1,Rural,Home Improvement,8,0.08,3.5,237.99,Y
LP000213,Male,No,1,Graduate,No,36,850,7509,0,68,360,1,Rural,Business,7,0.35,5.6,390.37,Y
LP000214,Male,Yes,0,Graduate,Yes,37,730,5989,4089,49,120,1,Semiurban,Home Purchase,3,,6.72,561.89,Y
LP000215,Male,Yes,3+,Not Graduate,No,30,559,3706,0,132,360,0,Rural,Business,11,0.24,7.36,910.34,N
